ds,table_name,pg_stat_get_live_tuples,pg_stat_get_dead_tuples,pg_table_size,relid,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,n_mod_since_analyze,n_ins_since_vacuum,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,vacuum_count,autovacuum_count,analyze_count,autoanalyze_count
1650448381.007401,public.usertable,57465,1254,86761472,16943,public,usertable,1,0,382451,2539498,67986,20602,10415,8647,57465,1254,2121,1224,,2022-04-20 09:52:56.618240+00:00,,2022-04-20 09:52:57.374543+00:00,0,2,0,2
1650448382.032188,public.usertable,57604,1571,86761472,16943,public,usertable,1,0,388285,2564068,68243,20810,10533,8809,57604,1571,2704,1481,,2022-04-20 09:52:56.618240+00:00,,2022-04-20 09:52:57.374543+00:00,0,2,0,2
1650448383.0585055,public.usertable,57796,1889,86761472,16943,public,usertable,1,0,394140,2587839,68548,21029,10646,8973,57796,1889,3341,1786,,2022-04-20 09:52:56.618240+00:00,,2022-04-20 09:52:57.374543+00:00,0,2,0,2
1650448384.085915,public.usertable,57944,2205,86761472,16943,public,usertable,1,0,400157,2616936,68802,21250,10752,9127,57944,2205,3922,2040,,2022-04-20 09:52:56.618240+00:00,,2022-04-20 09:52:57.374543+00:00,0,2,0,2
1650448385.1121352,public.usertable,58092,2511,86761472,16943,public,usertable,1,0,405639,2638804,69045,21476,10847,9287,58092,2511,4486,2283,,2022-04-20 09:52:56.618240+00:00,,2022-04-20 09:52:57.374543+00:00,0,2,0,2
1650448386.1383188,public.usertable,58270,2801,86761472,16943,public,usertable,1,0,411435,2666830,69327,21672,10951,9423,58270,2801,5068,2565,,2022-04-20 09:52:56.618240+00:00,,2022-04-20 09:52:57.374543+00:00,0,2,0,2
1650448387.1630573,public.usertable,58460,3094,86761472,16943,public,usertable,1,0,417211,2691736,69616,21886,11050,9578,58460,3094,5670,2854,,2022-04-20 09:52:56.618240+00:00,,2022-04-20 09:52:57.374543+00:00,0,2,0,2
1650448388.1890907,public.usertable,58645,3368,86761472,16943,public,usertable,1,0,422946,2713784,69900,22085,11149,9710,58645,3368,6252,3138,,2022-04-20 09:52:56.618240+00:00,,2022-04-20 09:52:57.374543+00:00,0,2,0,2
1650448389.2158387,public.usertable,58817,3659,86761472,16943,public,usertable,1,0,428548,2737338,70159,22309,11236,9851,58817,3659,6822,3397,,2022-04-20 09:52:56.618240+00:00,,2022-04-20 09:52:57.374543+00:00,0,2,0,2
1650448390.2421906,public.usertable,59000,3947,86761472,16943,public,usertable,1,0,434342,2755661,70449,22519,11343,9969,59000,3947,7429,3687,,2022-04-20 09:52:56.618240+00:00,,2022-04-20 09:52:57.374543+00:00,0,2,0,2
1650448391.2664351,public.usertable,59158,4232,86761472,16943,public,usertable,1,0,439990,2779709,70713,22739,11449,10096,59158,4232,8019,3951,,2022-04-20 09:52:56.618240+00:00,,2022-04-20 09:52:57.374543+00:00,0,2,0,2
1650448392.2947357,public.usertable,59337,4487,86761472,16943,public,usertable,1,0,446021,2802081,71001,22922,11558,10202,59337,4487,8599,4239,,2022-04-20 09:52:56.618240+00:00,,2022-04-20 09:52:57.374543+00:00,0,2,0,2
1650448393.320494,public.usertable,59632,4907,86761472,16943,public,usertable,1,0,454801,2830739,71440,23254,11702,10385,59632,4907,9514,4678,,2022-04-20 09:52:56.618240+00:00,,2022-04-20 09:52:57.374543+00:00,0,2,0,2
1650448394.3466945,public.usertable,59812,5179,86761472,16943,public,usertable,1,0,460926,2856842,71735,23458,11817,10499,59812,5179,10128,4973,,2022-04-20 09:52:56.618240+00:00,,2022-04-20 09:52:57.374543+00:00,0,2,0,2
1650448395.3732145,public.usertable,59999,5437,86761472,16943,public,usertable,1,0,466947,2876950,72009,23682,11904,10611,59999,5437,10713,5247,,2022-04-20 09:52:56.618240+00:00,,2022-04-20 09:52:57.374543+00:00,0,2,0,2
1650448396.3972833,public.usertable,60179,5703,86761472,16943,public,usertable,1,0,472857,2896840,72289,23899,12004,10710,60179,5703,11310,5527,,2022-04-20 09:52:56.618240+00:00,,2022-04-20 09:52:57.374543+00:00,0,2,0,2
1650448397.4231553,public.usertable,60360,5944,86761472,16943,public,usertable,1,0,478934,2915262,72578,24086,12112,10796,60360,5944,11894,5816,,2022-04-20 09:52:56.618240+00:00,,2022-04-20 09:52:57.374543+00:00,0,2,0,2
1650448398.4492233,public.usertable,60542,6200,86761472,16943,public,usertable,1,0,484801,2940508,72863,24278,12215,10891,60542,6200,12474,6101,,2022-04-20 09:52:56.618240+00:00,,2022-04-20 09:52:57.374543+00:00,0,2,0,2
1650448399.475803,public.usertable,60763,6436,86761472,16943,public,usertable,1,0,490948,2963961,73166,24474,12297,10966,60763,6436,13055,6404,,2022-04-20 09:52:56.618240+00:00,,2022-04-20 09:52:57.374543+00:00,0,2,0,2
1650448400.5003219,public.usertable,60979,6692,86761472,16943,public,usertable,1,0,497057,2985165,73471,24687,12386,11057,60979,6692,13662,6709,,2022-04-20 09:52:56.618240+00:00,,2022-04-20 09:52:57.374543+00:00,0,2,0,2
